head	relation	tail
diagnosis_1	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_1	age_group	old-age
diagnosis_1	age	age_10
diagnosis_1	weight	weight_0
diagnosis_1	prescription	rx_0
rx_0	prescription_code	ANB035
diagnosis_1	disease	disease_0
disease_0	main_category	피부
diagnosis_1	memo	memo_1
diagnosis_1	symptom	cc0
diagnosis_2	pet_number	pet_156-5147
pet_156-5147	species	Canine
pet_156-5147	breed	French Bulldog
pet_156-5147	gender	gender_3
diagnosis_2	age_group	old-age
diagnosis_2	age	age_7
diagnosis_2	weight	weight_1
diagnosis_2	prescription	rx_0
rx_0	prescription_code	ANB035
diagnosis_2	disease	disease_1
diagnosis_2	memo	memo_3
diagnosis_2	symptom	cc1
diagnosis_3	pet_number	pet_156-3415
pet_156-3415	species	Canine
pet_156-3415	breed	Pomeranian
pet_156-3415	gender	gender_2
diagnosis_3	age_group	old-age
diagnosis_3	age	age_10
diagnosis_3	weight	weight_2
diagnosis_3	prescription	rx_0
rx_0	prescription_code	ANB035
diagnosis_3	disease	disease_2
diagnosis_3	memo	memo_5
diagnosis_3	symptom	cc2
diagnosis_4	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_4	age_group	old-age
diagnosis_4	age	age_10
diagnosis_4	weight	weight_0
diagnosis_4	prescription	rx_1
rx_1	prescription_code	ANB081
diagnosis_4	disease	disease_0
disease_0	main_category	피부
diagnosis_4	memo	memo_7
diagnosis_4	symptom	cc0
diagnosis_5	pet_number	pet_156-3415
pet_156-3415	species	Canine
pet_156-3415	breed	Pomeranian
pet_156-3415	gender	gender_2
diagnosis_5	age_group	old-age
diagnosis_5	age	age_10
diagnosis_5	weight	weight_2
diagnosis_5	prescription	rx_2
rx_2	prescription_code	ANI052
diagnosis_5	disease	disease_2
diagnosis_5	memo	memo_9
diagnosis_5	symptom	cc2
diagnosis_6	pet_number	pet_156-4104
pet_156-4104	species	Canine
pet_156-4104	breed	Pomeranian
pet_156-4104	gender	gender_1
diagnosis_6	age_group	old-age
diagnosis_6	age	age_9
diagnosis_6	weight	weight_3
diagnosis_6	prescription	rx_3
rx_3	prescription_code	ANI060
diagnosis_6	disease	disease_2
diagnosis_6	memo	memo_11
diagnosis_6	symptom	cc3
diagnosis_7	pet_number	pet_156-5147
pet_156-5147	species	Canine
pet_156-5147	breed	French Bulldog
pet_156-5147	gender	gender_3
diagnosis_7	age_group	old-age
diagnosis_7	age	age_7
diagnosis_7	weight	weight_1
diagnosis_7	prescription	rx_3
rx_3	prescription_code	ANI060
diagnosis_7	disease	disease_1
diagnosis_7	memo	memo_13
diagnosis_7	symptom	cc1
diagnosis_8	pet_number	pet_156-2039
pet_156-2039	species	Canine
pet_156-2039	breed	Jack Russell Terrier
pet_156-2039	gender	gender_3
diagnosis_8	age_group	old-age
diagnosis_8	age	age_12
diagnosis_8	weight	weight_4
diagnosis_8	prescription	rx_3
rx_3	prescription_code	ANI060
diagnosis_8	disease	disease_2
diagnosis_8	memo	memo_15
diagnosis_8	symptom	cc4
diagnosis_9	pet_number	pet_156-3415
pet_156-3415	species	Canine
pet_156-3415	breed	Pomeranian
pet_156-3415	gender	gender_2
diagnosis_9	age_group	old-age
diagnosis_9	age	age_10
diagnosis_9	weight	weight_2
diagnosis_9	prescription	rx_3
rx_3	prescription_code	ANI060
diagnosis_9	disease	disease_2
diagnosis_9	memo	memo_17
diagnosis_9	symptom	cc2
diagnosis_10	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_10	age_group	superaged
diagnosis_10	age	age_17
diagnosis_10	weight	weight_5
diagnosis_10	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_10	disease	disease_2
diagnosis_10	memo	memo_19
diagnosis_10	symptom	cc5
diagnosis_11	pet_number	pet_156-4104
pet_156-4104	species	Canine
pet_156-4104	breed	Pomeranian
pet_156-4104	gender	gender_1
diagnosis_11	age_group	old-age
diagnosis_11	age	age_9
diagnosis_11	weight	weight_3
diagnosis_11	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_11	disease	disease_2
diagnosis_11	memo	memo_21
diagnosis_11	symptom	cc3
diagnosis_12	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_12	age_group	old-age
diagnosis_12	age	age_12
diagnosis_12	weight	weight_6
diagnosis_12	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_12	disease	disease_2
diagnosis_12	memo	memo_23
diagnosis_12	symptom	cc5
diagnosis_13	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_13	age_group	old-age
diagnosis_13	age	age_10
diagnosis_13	weight	weight_0
diagnosis_13	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_13	disease	disease_0
disease_0	main_category	피부
diagnosis_13	memo	memo_25
diagnosis_13	symptom	cc0
diagnosis_14	pet_number	pet_156-5147
pet_156-5147	species	Canine
pet_156-5147	breed	French Bulldog
pet_156-5147	gender	gender_3
diagnosis_14	age_group	old-age
diagnosis_14	age	age_7
diagnosis_14	weight	weight_1
diagnosis_14	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_14	disease	disease_1
diagnosis_14	memo	memo_27
diagnosis_14	symptom	cc1
diagnosis_15	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_15	age_group	old-age
diagnosis_15	age	age_12
diagnosis_15	weight	weight_6
diagnosis_15	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_15	disease	disease_2
diagnosis_15	memo	memo_29
diagnosis_15	symptom	cc6
diagnosis_16	pet_number	pet_156-2039
pet_156-2039	species	Canine
pet_156-2039	breed	Jack Russell Terrier
